Year,Location,Age,Total,Male,Female
2017,Благоевград,Общо,307882,150007,157875
2017,Благоевград,0,2710,1386,1324
2017,Благоевград,1 - 4,11490,5834,5656
2017,Благоевград,5 - 9,15559,7959,7600
2017,Благоевград,10 - 14,15054,7710,7344
2017,Благоевград,15 - 19,13832,7166,6666
2017,Благоевград,20 - 24,13032,6729,6303
2017,Благоевград,25 - 29,21518,10569,10949
2017,Благоевград,30 - 34,21934,11267,10667
2017,Благоевград,35 - 39,21740,11288,10452
2017,Благоевград,40 - 44,22761,11675,11086
2017,Благоевград,45 - 49,22915,11501,11414
2017,Благоевград,50 - 54,22643,11209,11434
2017,Благоевград,55 - 59,23082,11246,11836
2017,Благоевград,60 - 64,21634,10341,11293
2017,Благоевград,65 - 69,19057,8677,10380
2017,Благоевград,70 - 74,14814,6322,8492
2017,Благоевград,75 - 79,11293,4454,6839
2017,Благоевград,80 - 84,8069,2984,5085
2017,Благоевград,85 - 89,3623,1331,2292
2017,Благоевград,90 - 94,977,320,657
2017,Благоевград,95 - 99,133,37,96
2017,Благоевград,100+,12,2,10
2017,Бургас,Общо,411579,199519,212060
2017,Бургас,0,3922,2006,1916
2017,Бургас,1 - 4,16394,8294,8100
2017,Бургас,5 - 9,22352,11420,10932
2017,Бургас,10 - 14,21305,10994,10311
2017,Бургас,15 - 19,18881,9612,9269
2017,Бургас,20 - 24,17783,9017,8766
2017,Бургас,25 - 29,24302,12296,12006
2017,Бургас,30 - 34,28704,14615,14089
2017,Бургас,35 - 39,31006,16048,14958
2017,Бургас,40 - 44,34415,17672,16743
2017,Бургас,45 - 49,30913,15768,15145
2017,Бургас,50 - 54,26469,13122,13347
2017,Бургас,55 - 59,28193,13555,14638
2017,Бургас,60 - 64,28492,13202,15290
2017,Бургас,65 - 69,27463,12162,15301
2017,Бургас,70 - 74,19902,8346,11556
2017,Бургас,75 - 79,14226,5440,8786
2017,Бургас,80 - 84,10306,3687,6619
2017,Бургас,85 - 89,4956,1766,3190
2017,Бургас,90 - 94,1428,443,985
2017,Бургас,95 - 99,158,51,107
2017,Бургас,100+,9,3,6
2017,Варна,Общо,472120,230301,241819
2017,Варна,0,4437,2341,2096
2017,Варна,1 - 4,18389,9470,8919
2017,Варна,5 - 9,25374,13077,12297
2017,Варна,10 - 14,23301,11983,11318
2017,Варна,15 - 19,21275,10896,10379
2017,Варна,20 - 24,22036,11632,10404
2017,Варна,25 - 29,31989,16327,15662
2017,Варна,30 - 34,35757,17953,17804
2017,Варна,35 - 39,37049,19007,18042
2017,Варна,40 - 44,41018,21072,19946
2017,Варна,45 - 49,35384,18254,17130
2017,Варна,50 - 54,29060,14529,14531
2017,Варна,55 - 59,29286,14267,15019
2017,Варна,60 - 64,30133,13884,16249
2017,Варна,65 - 69,29092,12806,16286
2017,Варна,70 - 74,23504,9862,13642
2017,Варна,75 - 79,15929,6362,9567
2017,Варна,80 - 84,11388,3973,7415
2017,Варна,85 - 89,5884,2035,3849
2017,Варна,90 - 94,1596,497,1099
2017,Варна,95 - 99,227,71,156
2017,Варна,100+,12,3,9
2017,Велико Търново,Общо,239132,115655,123477
2017,Велико Търново,0,1990,1002,988
2017,Велико Търново,1 - 4,8109,4194,3915
2017,Велико Търново,5 - 9,10411,5334,5077
2017,Велико Търново,10 - 14,9888,5103,4785
2017,Велико Търново,15 - 19,10234,5185,5049
2017,Велико Търново,20 - 24,11624,5907,5717
2017,Велико Търново,25 - 29,19343,9743,9600
2017,Велико Търново,30 - 34,15082,7916,7166
2017,Велико Търново,35 - 39,14937,7712,7225
2017,Велико Търново,40 - 44,17016,8796,8220
2017,Велико Търново,45 - 49,16245,8296,7949
2017,Велико Търново,50 - 54,14998,7564,7434
2017,Велико Търново,55 - 59,16314,7996,8318
2017,Велико Търново,60 - 64,17641,8384,9257
2017,Велико Търново,65 - 69,17602,7908,9694
2017,Велико Търново,70 - 74,15283,6435,8848
2017,Велико Търново,75 - 79,10369,3998,6371
2017,Велико Търново,80 - 84,7162,2542,4620
2017,Велико Търново,85 - 89,3784,1300,2484
2017,Велико Търново,90 - 94,954,296,658
2017,Велико Търново,95 - 99,143,41,102
2017,Велико Търново,100+,3,3,-
2017,Видин,Общо,86927,42411,44516
2017,Видин,0,573,291,282
2017,Видин,1 - 4,2367,1216,1151
2017,Видин,5 - 9,3603,1858,1745
2017,Видин,10 - 14,3875,2025,1850
2017,Видин,15 - 19,3751,1887,1864
2017,Видин,20 - 24,3134,1628,1506
2017,Видин,25 - 29,3693,2016,1677
2017,Видин,30 - 34,4333,2313,2020
2017,Видин,35 - 39,4866,2566,2300
2017,Видин,40 - 44,6256,3292,2964
2017,Видин,45 - 49,6849,3635,3214
2017,Видин,50 - 54,5689,3024,2665
2017,Видин,55 - 59,5959,3121,2838
2017,Видин,60 - 64,6520,3151,3369
2017,Видин,65 - 69,7902,3471,4431
2017,Видин,70 - 74,7129,3062,4067
2017,Видин,75 - 79,4559,1796,2763
2017,Видин,80 - 84,3446,1239,2207
2017,Видин,85 - 89,1814,641,1173
2017,Видин,90 - 94,544,161,383
2017,Видин,95 - 99,65,18,47
2017,Видин,100+,-,-,-
2017,Враца,Общо,165645,81459,84186
2017,Враца,0,1324,684,640
2017,Враца,1 - 4,5671,2959,2712
2017,Враца,5 - 9,7654,3960,3694
2017,Враца,10 - 14,7723,3930,3793
2017,Враца,15 - 19,7959,4080,3879
2017,Враца,20 - 24,6970,3654,3316
2017,Враца,25 - 29,8313,4463,3850
2017,Враца,30 - 34,9065,4829,4236
2017,Враца,35 - 39,10022,5231,4791
2017,Враца,40 - 44,11980,6200,5780
2017,Враца,45 - 49,13217,7010,6207
2017,Враца,50 - 54,11704,6117,5587
2017,Враца,55 - 59,12209,6314,5895
2017,Враца,60 - 64,12274,5877,6397
2017,Враца,65 - 69,12485,5666,6819
2017,Враца,70 - 74,11003,4582,6421
2017,Враца,75 - 79,7096,2790,4306
2017,Враца,80 - 84,5236,1886,3350
2017,Враца,85 - 89,2849,982,1867
2017,Враца,90 - 94,777,220,557
2017,Враца,95 - 99,108,23,85
2017,Враца,100+,6,2,4
2017,Габрово,Общо,110254,53243,57011
2017,Габрово,0,730,386,344
2017,Габрово,1 - 4,3072,1607,1465
2017,Габрово,5 - 9,4452,2278,2174
2017,Габрово,10 - 14,4378,2238,2140
2017,Габрово,15 - 19,4190,2150,2040
2017,Габрово,20 - 24,3851,2100,1751
2017,Габрово,25 - 29,5466,3092,2374
2017,Габрово,30 - 34,5878,3196,2682
2017,Габрово,35 - 39,6698,3552,3146
2017,Габрово,40 - 44,8270,4305,3965
2017,Габрово,45 - 49,8115,4194,3921
2017,Габрово,50 - 54,7611,3812,3799
2017,Габрово,55 - 59,7958,3895,4063
2017,Габрово,60 - 64,8444,3993,4451
2017,Габрово,65 - 69,9461,4069,5392
2017,Габрово,70 - 74,8439,3499,4940
2017,Габрово,75 - 79,5980,2322,3658
2017,Габрово,80 - 84,4364,1580,2784
2017,Габрово,85 - 89,2150,760,1390
2017,Габрово,90 - 94,644,183,461
2017,Габрово,95 - 99,102,32,70
2017,Габрово,100+,1,-,1
2017,Добрич,Общо,176145,85739,90406
2017,Добрич,0,1402,715,687
2017,Добрич,1 - 4,6043,3090,2953
2017,Добрич,5 - 9,8738,4546,4192
2017,Добрич,10 - 14,8791,4507,4284
2017,Добрич,15 - 19,8265,4238,4027
2017,Добрич,20 - 24,7854,4012,3842
2017,Добрич,25 - 29,9787,5183,4604
2017,Добрич,30 - 34,10869,5723,5146
2017,Добрич,35 - 39,11257,5871,5386
2017,Добрич,40 - 44,13521,6942,6579
2017,Добрич,45 - 49,13807,7020,6787
2017,Добрич,50 - 54,12294,6279,6015
2017,Добрич,55 - 59,12821,6181,6640
2017,Добрич,60 - 64,12811,5971,6840
2017,Добрич,65 - 69,13140,5791,7349
2017,Добрич,70 - 74,10286,4223,6063
2017,Добрич,75 - 79,7112,2756,4356
2017,Добрич,80 - 84,4433,1649,2784
2017,Добрич,85 - 89,2222,824,1398
2017,Добрич,90 - 94,602,198,404
2017,Добрич,95 - 99,89,20,69
2017,Добрич,100+,1,-,1
2017,Кърджали,Общо,151113,74958,76155
2017,Кърджали,0,1417,716,701
2017,Кърджали,1 - 4,5735,3026,2709
2017,Кърджали,5 - 9,7248,3706,3542
2017,Кърджали,10 - 14,7060,3612,3448
2017,Кърджали,15 - 19,6457,3346,3111
2017,Кърджали,20 - 24,6244,3210,3034
2017,Кърджали,25 - 29,8717,4466,4251
2017,Кърджали,30 - 34,9985,4996,4989
2017,Кърджали,35 - 39,11393,5919,5474
2017,Кърджали,40 - 44,11110,5930,5180
2017,Кърджали,45 - 49,11154,5946,5208
2017,Кърджали,50 - 54,11168,5772,5396
2017,Кърджали,55 - 59,11968,5954,6014
2017,Кърджали,60 - 64,11981,5680,6301
2017,Кърджали,65 - 69,9926,4587,5339
2017,Кърджали,70 - 74,6828,2994,3834
2017,Кърджали,75 - 79,6139,2557,3582
2017,Кърджали,80 - 84,4141,1637,2504
2017,Кърджали,85 - 89,1819,694,1125
2017,Кърджали,90 - 94,535,198,337
2017,Кърджали,95 - 99,76,11,65
2017,Кърджали,100+,12,1,11
2017,Кюстендил,Общо,121099,58819,62280
2017,Кюстендил,0,870,453,417
2017,Кюстендил,1 - 4,3584,1807,1777
2017,Кюстендил,5 - 9,4942,2545,2397
2017,Кюстендил,10 - 14,5136,2663,2473
2017,Кюстендил,15 - 19,4796,2497,2299
2017,Кюстендил,20 - 24,3772,2065,1707
2017,Кюстендил,25 - 29,5170,2784,2386
2017,Кюстендил,30 - 34,6535,3522,3013
2017,Кюстендил,35 - 39,7639,4069,3570
2017,Кюстендил,40 - 44,8928,4623,4305
2017,Кюстендил,45 - 49,9424,4878,4546
2017,Кюстендил,50 - 54,8870,4554,4316
2017,Кюстендил,55 - 59,9339,4649,4690
2017,Кюстендил,60 - 64,9572,4486,5086
2017,Кюстендил,65 - 69,9861,4431,5430
2017,Кюстендил,70 - 74,8638,3619,5019
2017,Кюстендил,75 - 79,6226,2419,3807
2017,Кюстендил,80 - 84,4596,1688,2908
2017,Кюстендил,85 - 89,2411,842,1569
2017,Кюстендил,90 - 94,675,186,489
2017,Кюстендил,95 - 99,112,38,74
2017,Кюстендил,100+,3,1,2
2017,Ловеч,Общо,126961,61906,65055
2017,Ловеч,0,1017,532,485
2017,Ловеч,1 - 4,4064,2066,1998
2017,Ловеч,5 - 9,5871,2975,2896
2017,Ловеч,10 - 14,5929,3047,2882
2017,Ловеч,15 - 19,5870,3023,2847
2017,Ловеч,20 - 24,4793,2530,2263
2017,Ловеч,25 - 29,6019,3226,2793
2017,Ловеч,30 - 34,6558,3468,3090
2017,Ловеч,35 - 39,7282,3866,3416
2017,Ловеч,40 - 44,8952,4694,4258
2017,Ловеч,45 - 49,9569,5038,4531
2017,Ловеч,50 - 54,8795,4501,4294
2017,Ловеч,55 - 59,9130,4666,4464
2017,Ловеч,60 - 64,9279,4445,4834
2017,Ловеч,65 - 69,10050,4432,5618
2017,Ловеч,70 - 74,9016,3745,5271
2017,Ловеч,75 - 79,6489,2537,3952
2017,Ловеч,80 - 84,4982,1937,3045
2017,Ловеч,85 - 89,2475,896,1579
2017,Ловеч,90 - 94,708,235,473
2017,Ловеч,95 - 99,111,47,64
2017,Ловеч,100+,2,-,2
2017,Монтана,Общо,132214,64678,67536
2017,Монтана,0,1024,511,513
2017,Монтана,1 - 4,4546,2390,2156
2017,Монтана,5 - 9,6168,3167,3001
2017,Монтана,10 - 14,6054,3116,2938
2017,Монтана,15 - 19,6372,3272,3100
2017,Монтана,20 - 24,5429,2850,2579
2017,Монтана,25 - 29,6504,3436,3068
2017,Монтана,30 - 34,7098,3787,3311
2017,Монтана,35 - 39,7657,4101,3556
2017,Монтана,40 - 44,9140,4725,4415
2017,Монтана,45 - 49,9701,5066,4635
2017,Монтана,50 - 54,8853,4623,4230
2017,Монтана,55 - 59,9416,4802,4614
2017,Монтана,60 - 64,9826,4812,5014
2017,Монтана,65 - 69,10707,4880,5827
2017,Монтана,70 - 74,9176,3804,5372
2017,Монтана,75 - 79,6378,2392,3986
2017,Монтана,80 - 84,4837,1777,3060
2017,Монтана,85 - 89,2483,887,1596
2017,Монтана,90 - 94,738,245,493
2017,Монтана,95 - 99,105,33,72
2017,Монтана,100+,2,2,-
2017,Пазарджик,Общо,257965,126454,131511
2017,Пазарджик,0,2347,1208,1139
2017,Пазарджик,1 - 4,9915,5077,4838
2017,Пазарджик,5 - 9,13434,6954,6480
2017,Пазарджик,10 - 14,13032,6726,6306
2017,Пазарджик,15 - 19,12659,6607,6052
2017,Пазарджик,20 - 24,11164,5853,5311
2017,Пазарджик,25 - 29,14863,7724,7139
2017,Пазарджик,30 - 34,16797,8877,7920
2017,Пазарджик,35 - 39,17285,9227,8058
2017,Пазарджик,40 - 44,18257,9580,8677
2017,Пазарджик,45 - 49,19316,9835,9481
2017,Пазарджик,50 - 54,18421,9334,9087
2017,Пазарджик,55 - 59,19983,9988,9995
2017,Пазарджик,60 - 64,18360,8712,9648
2017,Пазарджик,65 - 69,16691,7373,9318
2017,Пазарджик,70 - 74,13708,5592,8116
2017,Пазарджик,75 - 79,10128,3786,6342
2017,Пазарджик,80 - 84,7187,2597,4590
2017,Пазарджик,85 - 89,3341,1100,2241
2017,Пазарджик,90 - 94,959,270,689
2017,Пазарджик,95 - 99,113,33,80
2017,Пазарджик,100+,5,1,4
2017,Перник,Общо,122421,59646,62775
2017,Перник,0,943,473,470
2017,Перник,1 - 4,3765,1966,1799
2017,Перник,5 - 9,5290,2777,2513
2017,Перник,10 - 14,4920,2552,2368
2017,Перник,15 - 19,4705,2452,2253
2017,Перник,20 - 24,4098,2202,1896
2017,Перник,25 - 29,5510,2969,2541
2017,Перник,30 - 34,7497,3935,3562
2017,Перник,35 - 39,8748,4675,4073
2017,Перник,40 - 44,9569,4936,4633
2017,Перник,45 - 49,9158,4754,4404
2017,Перник,50 - 54,8676,4393,4283
2017,Перник,55 - 59,9601,4700,4901
2017,Перник,60 - 64,9463,4490,4973
2017,Перник,65 - 69,9266,4126,5140
2017,Перник,70 - 74,7792,3231,4561
2017,Перник,75 - 79,5813,2252,3561
2017,Перник,80 - 84,4585,1665,2920
2017,Перник,85 - 89,2300,834,1466
2017,Перник,90 - 94,628,235,393
2017,Перник,95 - 99,91,28,63
2017,Перник,100+,3,1,2
2017,Плевен,Общо,244209,119044,125165
2017,Плевен,0,2123,1095,1028
2017,Плевен,1 - 4,8754,4539,4215
2017,Плевен,5 - 9,11485,5857,5628
2017,Плевен,10 - 14,11403,5844,5559
2017,Плевен,15 - 19,11004,5619,5385
2017,Плевен,20 - 24,10109,5129,4980
2017,Плевен,25 - 29,12364,6570,5794
2017,Плевен,30 - 34,13668,7168,6500
2017,Плевен,35 - 39,14272,7559,6713
2017,Плевен,40 - 44,16718,8664,8054
2017,Плевен,45 - 49,17737,9270,8467
2017,Плевен,50 - 54,16037,8210,7827
2017,Плевен,55 - 59,17503,8808,8695
2017,Плевен,60 - 64,18343,8898,9445
2017,Плевен,65 - 69,19401,8898,10503
2017,Плевен,70 - 74,17033,7263,9770
2017,Плевен,75 - 79,11655,4424,7231
2017,Плевен,80 - 84,8718,3242,5476
2017,Плевен,85 - 89,4379,1487,2892
2017,Плевен,90 - 94,1336,450,886
2017,Плевен,95 - 99,156,46,110
2017,Плевен,100+,11,4,7
2017,Пловдив,Общо,669796,322158,347638
2017,Пловдив,0,6386,3237,3149
2017,Пловдив,1 - 4,26319,13539,12780
2017,Пловдив,5 - 9,33798,17559,16239
2017,Пловдив,10 - 14,30837,15817,15020
2017,Пловдив,15 - 19,29643,15289,14354
2017,Пловдив,20 - 24,32100,16459,15641
2017,Пловдив,25 - 29,43038,21563,21475
2017,Пловдив,30 - 34,47065,24003,23062
2017,Пловдив,35 - 39,48922,25270,23652
2017,Пловдив,40 - 44,51430,26251,25179
2017,Пловдив,45 - 49,48544,24599,23945
2017,Пловдив,50 - 54,43379,21293,22086
2017,Пловдив,55 - 59,45830,22137,23693
2017,Пловдив,60 - 64,44192,20675,23517
2017,Пловдив,65 - 69,42444,18377,24067
2017,Пловдив,70 - 74,35300,14426,20874
2017,Пловдив,75 - 79,26738,10111,16627
2017,Пловдив,80 - 84,20221,7045,13176
2017,Пловдив,85 - 89,10202,3453,6749
2017,Пловдив,90 - 94,2974,926,2048
2017,Пловдив,95 - 99,414,125,289
2017,Пловдив,100+,20,4,16
2017,Разград,Общо,113714,55437,58277
2017,Разград,0,889,449,440
2017,Разград,1 - 4,3924,1996,1928
2017,Разград,5 - 9,5415,2797,2618
2017,Разград,10 - 14,5369,2759,2610
2017,Разград,15 - 19,5535,2855,2680
2017,Разград,20 - 24,5278,2737,2541
2017,Разград,25 - 29,6203,3166,3037
2017,Разград,30 - 34,6685,3495,3190
2017,Разград,35 - 39,7346,3788,3558
2017,Разград,40 - 44,8484,4395,4089
2017,Разград,45 - 49,9116,4728,4388
2017,Разград,50 - 54,8500,4416,4084
2017,Разград,55 - 59,8434,4125,4309
2017,Разград,60 - 64,8500,4035,4465
2017,Разград,65 - 69,8241,3699,4542
2017,Разград,70 - 74,6752,2663,4089
2017,Разград,75 - 79,4568,1739,2829
2017,Разград,80 - 84,2875,1084,1791
2017,Разград,85 - 89,1228,391,837
2017,Разград,90 - 94,328,112,216
2017,Разград,95 - 99,39,8,31
2017,Разград,100+,5,-,5
2017,Русе,Общо,221336,108150,113186
2017,Русе,0,1699,929,770
2017,Русе,1 - 4,7263,3810,3453
2017,Русе,5 - 9,9702,5022,4680
2017,Русе,10 - 14,9323,4767,4556
2017,Русе,15 - 19,9180,4755,4425
2017,Русе,20 - 24,11046,5900,5146
2017,Русе,25 - 29,13937,7642,6295
2017,Русе,30 - 34,14222,7481,6741
2017,Русе,35 - 39,14303,7581,6722
2017,Русе,40 - 44,16771,8552,8219
2017,Русе,45 - 49,16314,8333,7981
2017,Русе,50 - 54,14956,7517,7439
2017,Русе,55 - 59,15375,7635,7740
2017,Русе,60 - 64,16358,7794,8564
2017,Русе,65 - 69,15963,7032,8931
2017,Русе,70 - 74,14196,5748,8448
2017,Русе,75 - 79,9601,3717,5884
2017,Русе,80 - 84,6732,2427,4305
2017,Русе,85 - 89,3380,1157,2223
2017,Русе,90 - 94,896,307,589
2017,Русе,95 - 99,115,44,71
2017,Русе,100+,4,-,4
2017,Силистра,Общо,110562,54199,56363
2017,Силистра,0,925,473,452
2017,Силистра,1 - 4,3894,1986,1908
2017,Силистра,5 - 9,5204,2685,2519
2017,Силистра,10 - 14,5146,2714,2432
2017,Силистра,15 - 19,5007,2589,2418
2017,Силистра,20 - 24,4615,2331,2284
2017,Силистра,25 - 29,5912,3121,2791
2017,Силистра,30 - 34,6424,3441,2983
2017,Силистра,35 - 39,6522,3435,3087
2017,Силистра,40 - 44,7740,3976,3764
2017,Силистра,45 - 49,8494,4426,4068
2017,Силистра,50 - 54,8115,4148,3967
2017,Силистра,55 - 59,8100,4061,4039
2017,Силистра,60 - 64,8294,3896,4398
2017,Силистра,65 - 69,8725,3903,4822
2017,Силистра,70 - 74,7362,3158,4204
2017,Силистра,75 - 79,5317,2118,3199
2017,Силистра,80 - 84,3053,1150,1903
2017,Силистра,85 - 89,1309,475,834
2017,Силистра,90 - 94,350,101,249
2017,Силистра,95 - 99,49,11,38
2017,Силистра,100+,5,1,4
2017,Сливен,Общо,188433,91614,96819
2017,Сливен,0,2361,1203,1158
2017,Сливен,1 - 4,9388,4829,4559
2017,Сливен,5 - 9,11532,5909,5623
2017,Сливен,10 - 14,11439,5725,5714
2017,Сливен,15 - 19,10601,5441,5160
2017,Сливен,20 - 24,9007,4686,4321
2017,Сливен,25 - 29,10756,5614,5142
2017,Сливен,30 - 34,11474,6060,5414
2017,Сливен,35 - 39,12237,6367,5870
2017,Сливен,40 - 44,13432,6750,6682
2017,Сливен,45 - 49,12402,6251,6151
2017,Сливен,50 - 54,11830,5943,5887
2017,Сливен,55 - 59,12718,6326,6392
2017,Сливен,60 - 64,12644,5942,6702
2017,Сливен,65 - 69,12234,5322,6912
2017,Сливен,70 - 74,9486,3896,5590
2017,Сливен,75 - 79,6822,2512,4310
2017,Сливен,80 - 84,5063,1812,3251
2017,Сливен,85 - 89,2314,822,1492
2017,Сливен,90 - 94,626,185,441
2017,Сливен,95 - 99,63,17,46
2017,Сливен,100+,4,2,2
2017,Смолян,Общо,107282,51960,55322
2017,Смолян,0,742,352,390
2017,Смолян,1 - 4,2949,1466,1483
2017,Смолян,5 - 9,4269,2178,2091
2017,Смолян,10 - 14,4389,2303,2086
2017,Смолян,15 - 19,4203,2172,2031
2017,Смолян,20 - 24,3378,1778,1600
2017,Смолян,25 - 29,5156,2837,2319
2017,Смолян,30 - 34,6635,3581,3054
2017,Смолян,35 - 39,7313,3916,3397
2017,Смолян,40 - 44,7581,3927,3654
2017,Смолян,45 - 49,8096,4124,3972
2017,Смолян,50 - 54,8617,4298,4319
2017,Смолян,55 - 59,9762,4841,4921
2017,Смолян,60 - 64,9553,4405,5148
2017,Смолян,65 - 69,8509,3713,4796
2017,Смолян,70 - 74,6288,2498,3790
2017,Смолян,75 - 79,4740,1856,2884
2017,Смолян,80 - 84,3115,1118,1997
2017,Смолян,85 - 89,1486,462,1024
2017,Смолян,90 - 94,427,117,310
2017,Смолян,95 - 99,69,16,53
2017,Смолян,100+,5,2,3
2017,София,Общо,231563,113849,117714
2017,София,0,1982,1004,978
2017,София,1 - 4,7969,4072,3897
2017,София,5 - 9,10823,5517,5306
2017,София,10 - 14,10752,5616,5136
