Year,Location,Age,Total,Male,Female
2019,Габрово,85 - 89,2411,815,1596
2019,Габрово,90 - 94,629,191,438
2019,Габрово,95 - 99,126,34,92
2019,Габрово,100+,4,2,2
2019,Добрич,Общо,171809,83378,88431
2019,Добрич,0,1356,692,664
2019,Добрич,1 - 4,5698,2926,2772
2019,Добрич,5 - 9,8194,4193,4001
2019,Добрич,10 - 14,9028,4669,4359
2019,Добрич,15 - 19,8303,4264,4039
2019,Добрич,20 - 24,7045,3588,3457
2019,Добрич,25 - 29,8820,4618,4202
2019,Добрич,30 - 34,10526,5584,4942
2019,Добрич,35 - 39,10682,5564,5118
2019,Добрич,40 - 44,12438,6371,6067
2019,Добрич,45 - 49,13534,6893,6641
2019,Добрич,50 - 54,12711,6464,6247
2019,Добрич,55 - 59,12754,6294,6460
2019,Добрич,60 - 64,12237,5712,6525
2019,Добрич,65 - 69,12503,5468,7035
2019,Добрич,70 - 74,11085,4560,6525
2019,Добрич,75 - 79,7511,2845,4666
2019,Добрич,80 - 84,4364,1601,2763
2019,Добрич,85 - 89,2259,808,1451
2019,Добрич,90 - 94,653,234,419
2019,Добрич,95 - 99,102,28,74
2019,Добрич,100+,6,2,4
2019,Кърджали,Общо,158204,78102,80102
2019,Кърджали,0,1488,774,714
2019,Кърджали,1 - 4,6499,3403,3096
2019,Кърджали,5 - 9,7273,3779,3494
2019,Кърджали,10 - 14,7345,3744,3601
2019,Кърджали,15 - 19,6587,3385,3202
2019,Кърджали,20 - 24,5329,2737,2592
2019,Кърджали,25 - 29,8071,3936,4135
2019,Кърджали,30 - 34,10377,4977,5400
2019,Кърджали,35 - 39,11416,5686,5730
2019,Кърджали,40 - 44,11871,6321,5550
2019,Кърджали,45 - 49,11139,5956,5183
2019,Кърджали,50 - 54,11866,6115,5751
2019,Кърджали,55 - 59,12746,6464,6282
2019,Кърджали,60 - 64,13423,6429,6994
2019,Кърджали,65 - 69,11623,5495,6128
2019,Кърджали,70 - 74,8148,3669,4479
2019,Кърджали,75 - 79,6042,2527,3515
2019,Кърджали,80 - 84,4086,1653,2433
2019,Кърджали,85 - 89,2198,836,1362
2019,Кърджали,90 - 94,569,184,385
2019,Кърджали,95 - 99,96,30,66
2019,Кърджали,100+,12,2,10
2019,Кюстендил,Общо,116915,56922,59993
2019,Кюстендил,0,869,429,440
2019,Кюстендил,1 - 4,3442,1733,1709
2019,Кюстендил,5 - 9,4792,2502,2290
2019,Кюстендил,10 - 14,5082,2600,2482
2019,Кюстендил,15 - 19,4702,2444,2258
2019,Кюстендил,20 - 24,3269,1791,1478
2019,Кюстендил,25 - 29,4578,2545,2033
2019,Кюстендил,30 - 34,6079,3276,2803
2019,Кюстендил,35 - 39,7043,3825,3218
2019,Кюстендил,40 - 44,8486,4510,3976
2019,Кюстендил,45 - 49,9046,4723,4323
2019,Кюстендил,50 - 54,9060,4639,4421
2019,Кюстендил,55 - 59,9159,4637,4522
2019,Кюстендил,60 - 64,8969,4208,4761
2019,Кюстендил,65 - 69,9373,4213,5160
2019,Кюстендил,70 - 74,8991,3772,5219
2019,Кюстендил,75 - 79,6260,2410,3850
2019,Кюстендил,80 - 84,4377,1584,2793
2019,Кюстендил,85 - 89,2496,847,1649
2019,Кюстендил,90 - 94,731,212,519
2019,Кюстендил,95 - 99,109,21,88
2019,Кюстендил,100+,2,1,1
2019,Ловеч,Общо,122546,59658,62888
2019,Ловеч,0,974,511,463
2019,Ловеч,1 - 4,4102,2085,2017
2019,Ловеч,5 - 9,5519,2820,2699
2019,Ловеч,10 - 14,5921,3004,2917
2019,Ловеч,15 - 19,5695,2944,2751
2019,Ловеч,20 - 24,4297,2244,2053
2019,Ловеч,25 - 29,5605,3006,2599
2019,Ловеч,30 - 34,6319,3372,2947
2019,Ловеч,35 - 39,6617,3529,3088
2019,Ловеч,40 - 44,8230,4337,3893
2019,Ловеч,45 - 49,9268,4856,4412
2019,Ловеч,50 - 54,9056,4641,4415
2019,Ловеч,55 - 59,8961,4601,4360
2019,Ловеч,60 - 64,8864,4299,4565
2019,Ловеч,65 - 69,8995,4056,4939
2019,Ловеч,70 - 74,9531,3860,5671
2019,Ловеч,75 - 79,6387,2492,3895
2019,Ловеч,80 - 84,4643,1742,2901
2019,Ловеч,85 - 89,2717,974,1743
2019,Ловеч,90 - 94,706,242,464
2019,Ловеч,95 - 99,130,39,91
2019,Ловеч,100+,9,4,5
2019,Монтана,Общо,127001,62121,64880
2019,Монтана,0,936,487,449
2019,Монтана,1 - 4,4217,2153,2064
2019,Монтана,5 - 9,6015,3129,2886
2019,Монтана,10 - 14,6127,3206,2921
2019,Монтана,15 - 19,6045,3084,2961
2019,Монтана,20 - 24,4858,2533,2325
2019,Монтана,25 - 29,6055,3170,2885
2019,Монтана,30 - 34,6748,3589,3159
2019,Монтана,35 - 39,7121,3802,3319
2019,Монтана,40 - 44,8450,4417,4033
2019,Монтана,45 - 49,9453,4952,4501
2019,Монтана,50 - 54,8930,4636,4294
2019,Монтана,55 - 59,9192,4699,4493
2019,Монтана,60 - 64,9194,4529,4665
2019,Монтана,65 - 69,9729,4505,5224
2019,Монтана,70 - 74,9685,4066,5619
2019,Монтана,75 - 79,6406,2464,3942
2019,Монтана,80 - 84,4519,1557,2962
2019,Монтана,85 - 89,2525,884,1641
2019,Монтана,90 - 94,702,228,474
2019,Монтана,95 - 99,92,29,63
2019,Монтана,100+,2,2,-
2019,Пазарджик,Общо,252776,123715,129061
2019,Пазарджик,0,2297,1185,1112
2019,Пазарджик,1 - 4,9628,4991,4637
2019,Пазарджик,5 - 9,13071,6699,6372
2019,Пазарджик,10 - 14,13263,6853,6410
2019,Пазарджик,15 - 19,12532,6532,6000
2019,Пазарджик,20 - 24,10259,5354,4905
2019,Пазарджик,25 - 29,13202,6825,6377
2019,Пазарджик,30 - 34,16183,8483,7700
2019,Пазарджик,35 - 39,16742,8907,7835
2019,Пазарджик,40 - 44,17691,9358,8333
2019,Пазарджик,45 - 49,18402,9504,8898
2019,Пазарджик,50 - 54,18620,9418,9202
2019,Пазарджик,55 - 59,19211,9549,9662
2019,Пазарджик,60 - 64,18967,9081,9886
2019,Пазарджик,65 - 69,16177,7205,8972
2019,Пазарджик,70 - 74,14583,5998,8585
2019,Пазарджик,75 - 79,10154,3804,6350
2019,Пазарджик,80 - 84,6895,2403,4492
2019,Пазарджик,85 - 89,3708,1228,2480
2019,Пазарджик,90 - 94,1032,289,743
2019,Пазарджик,95 - 99,151,48,103
2019,Пазарджик,100+,8,1,7
2019,Перник,Общо,119190,57932,61258
2019,Перник,0,878,444,434
2019,Перник,1 - 4,3773,1965,1808
2019,Перник,5 - 9,4968,2613,2355
2019,Перник,10 - 14,5243,2691,2552
2019,Перник,15 - 19,4472,2385,2087
2019,Перник,20 - 24,3813,2014,1799
2019,Перник,25 - 29,4980,2659,2321
2019,Перник,30 - 34,6878,3609,3269
2019,Перник,35 - 39,8224,4380,3844
2019,Перник,40 - 44,9265,4865,4400
2019,Перник,45 - 49,9112,4725,4387
2019,Перник,50 - 54,8791,4499,4292
2019,Перник,55 - 59,9145,4412,4733
2019,Перник,60 - 64,9374,4438,4936
2019,Перник,65 - 69,8708,3923,4785
2019,Перник,70 - 74,8074,3358,4716
2019,Перник,75 - 79,5780,2197,3583
2019,Перник,80 - 84,4363,1555,2808
2019,Перник,85 - 89,2526,912,1614
2019,Перник,90 - 94,714,254,460
2019,Перник,95 - 99,103,32,71
2019,Перник,100+,6,2,4
2019,Плевен,Общо,236305,114729,121576
2019,Плевен,0,1996,1006,990
2019,Плевен,1 - 4,8425,4330,4095
2019,Плевен,5 - 9,10979,5640,5339
2019,Плевен,10 - 14,11550,5860,5690
2019,Плевен,15 - 19,10977,5590,5387
2019,Плевен,20 - 24,9225,4657,4568
2019,Плевен,25 - 29,11307,5860,5447
2019,Плевен,30 - 34,13072,6851,6221
2019,Плевен,35 - 39,13315,7024,6291
2019,Плевен,40 - 44,15540,8146,7394
2019,Плевен,45 - 49,17070,8881,8189
2019,Плевен,50 - 54,16467,8388,8079
2019,Плевен,55 - 59,16543,8418,8125
2019,Плевен,60 - 64,17837,8670,9167
2019,Плевен,65 - 69,17663,8159,9504
2019,Плевен,70 - 74,17862,7584,10278
2019,Плевен,75 - 79,12112,4737,7375
2019,Плевен,80 - 84,8189,2844,5345
2019,Плевен,85 - 89,4605,1593,3012
2019,Плевен,90 - 94,1359,427,932
2019,Плевен,95 - 99,202,61,141
2019,Плевен,100+,10,3,7
2019,Пловдив,Общо,666801,320136,346665
2019,Пловдив,0,6206,3147,3059
2019,Пловдив,1 - 4,26297,13465,12832
2019,Пловдив,5 - 9,33443,17315,16128
2019,Пловдив,10 - 14,32622,16824,15798
2019,Пловдив,15 - 19,30137,15363,14774
2019,Пловдив,20 - 24,30596,15633,14963
2019,Пловдив,25 - 29,38832,19575,19257
2019,Пловдив,30 - 34,47285,23765,23520
2019,Пловдив,35 - 39,47458,24583,22875
2019,Пловдив,40 - 44,51452,26303,25149
2019,Пловдив,45 - 49,48425,24534,23891
2019,Пловдив,50 - 54,45235,22508,22727
2019,Пловдив,55 - 59,44383,21365,23018
2019,Пловдив,60 - 64,44671,20829,23842
2019,Пловдив,65 - 69,40966,17962,23004
2019,Пловдив,70 - 74,37881,15378,22503
2019,Пловдив,75 - 79,26528,9990,16538
2019,Пловдив,80 - 84,19480,6763,12717
2019,Пловдив,85 - 89,11233,3694,7539
2019,Пловдив,90 - 94,3156,1001,2155
2019,Пловдив,95 - 99,486,131,355
2019,Пловдив,100+,29,8,21
2019,Разград,Общо,110789,54012,56777
2019,Разград,0,885,445,440
2019,Разград,1 - 4,3816,1972,1844
2019,Разград,5 - 9,5055,2585,2470
2019,Разград,10 - 14,5360,2751,2609
2019,Разград,15 - 19,5376,2799,2577
2019,Разград,20 - 24,4588,2395,2193
2019,Разград,25 - 29,5637,2896,2741
2019,Разград,30 - 34,6237,3259,2978
2019,Разград,35 - 39,6907,3553,3354
2019,Разград,40 - 44,7916,4084,3832
2019,Разград,45 - 49,8883,4607,4276
2019,Разград,50 - 54,8840,4555,4285
2019,Разград,55 - 59,8508,4305,4203
2019,Разград,60 - 64,8373,3970,4403
2019,Разград,65 - 69,7829,3535,4294
2019,Разград,70 - 74,7223,2899,4324
2019,Разград,75 - 79,4887,1817,3070
2019,Разград,80 - 84,2751,1008,1743
2019,Разград,85 - 89,1360,467,893
2019,Разград,90 - 94,298,96,202
2019,Разград,95 - 99,56,14,42
2019,Разград,100+,4,-,4
2019,Русе,Общо,215477,105026,110451
2019,Русе,0,1513,802,711
2019,Русе,1 - 4,7052,3728,3324
2019,Русе,5 - 9,9340,4879,4461
2019,Русе,10 - 14,9593,4843,4750
2019,Русе,15 - 19,9063,4736,4327
2019,Русе,20 - 24,9713,5181,4532
2019,Русе,25 - 29,12534,6866,5668
2019,Русе,30 - 34,14185,7463,6722
2019,Русе,35 - 39,13710,7247,6463
2019,Русе,40 - 44,15472,7997,7475
2019,Русе,45 - 49,16160,8178,7982
2019,Русе,50 - 54,15242,7687,7555
2019,Русе,55 - 59,15237,7552,7685
2019,Русе,60 - 64,15399,7346,8053
2019,Русе,65 - 69,15260,6855,8405
2019,Русе,70 - 74,14751,5962,8789
2019,Русе,75 - 79,10266,3928,6338
2019,Русе,80 - 84,6269,2199,4070
2019,Русе,85 - 89,3632,1214,2418
2019,Русе,90 - 94,938,323,615
2019,Русе,95 - 99,142,38,104
2019,Русе,100+,6,2,4
2019,Силистра,Общо,108018,52738,55280
2019,Силистра,0,885,467,418
2019,Силистра,1 - 4,3734,1910,1824
2019,Силистра,5 - 9,5038,2580,2458
2019,Силистра,10 - 14,5158,2698,2460
2019,Силистра,15 - 19,5042,2639,2403
2019,Силистра,20 - 24,4126,2085,2041
2019,Силистра,25 - 29,5267,2713,2554
2019,Силистра,30 - 34,6312,3346,2966
2019,Силистра,35 - 39,6360,3379,2981
2019,Силистра,40 - 44,7218,3738,3480
2019,Силистра,45 - 49,7931,4106,3825
2019,Силистра,50 - 54,8319,4235,4084
2019,Силистра,55 - 59,8367,4183,4184
2019,Силистра,60 - 64,7858,3775,4083
2019,Силистра,65 - 69,8197,3664,4533
2019,Силистра,70 - 74,7712,3262,4450
2019,Силистра,75 - 79,5602,2216,3386
2019,Силистра,80 - 84,3073,1093,1980
2019,Силистра,85 - 89,1397,528,869
2019,Силистра,90 - 94,360,102,258
2019,Силистра,95 - 99,57,17,40
2019,Силистра,100+,5,2,3
2019,Сливен,Общо,184119,89422,94697
2019,Сливен,0,2233,1146,1087
2019,Сливен,1 - 4,9231,4802,4429
2019,Сливен,5 - 9,11216,5646,5570
2019,Сливен,10 - 14,11348,5827,5521
2019,Сливен,15 - 19,10656,5455,5201
2019,Сливен,20 - 24,8466,4319,4147
2019,Сливен,25 - 29,9696,4999,4697
2019,Сливен,30 - 34,10839,5746,5093
2019,Сливен,35 - 39,11594,6072,5522
2019,Сливен,40 - 44,12878,6550,6328
2019,Сливен,45 - 49,12491,6304,6187
2019,Сливен,50 - 54,11746,5862,5884
2019,Сливен,55 - 59,12453,6219,6234
2019,Сливен,60 - 64,12047,5708,6339
2019,Сливен,65 - 69,11965,5250,6715
2019,Сливен,70 - 74,10299,4246,6053
2019,Сливен,75 - 79,6846,2499,4347
2019,Сливен,80 - 84,4805,1658,3147
2019,Сливен,85 - 89,2518,864,1654
2019,Сливен,90 - 94,702,221,481
2019,Сливен,95 - 99,86,27,59
2019,Сливен,100+,4,2,2
2019,Смолян,Общо,103532,49930,53602
2019,Смолян,0,659,343,316
2019,Смолян,1 - 4,2897,1447,1450
2019,Смолян,5 - 9,3810,1903,1907
2019,Смолян,10 - 14,4492,2348,2144
2019,Смолян,15 - 19,4033,2117,1916
2019,Смолян,20 - 24,2969,1562,1407
2019,Смолян,25 - 29,4160,2218,1942
2019,Смолян,30 - 34,5985,3236,2749
2019,Смолян,35 - 39,6842,3655,3187
2019,Смолян,40 - 44,7423,3907,3516
2019,Смолян,45 - 49,7532,3820,3712
2019,Смолян,50 - 54,8323,4217,4106
2019,Смолян,55 - 59,9140,4549,4591
2019,Смолян,60 - 64,9647,4458,5189
2019,Смолян,65 - 69,8693,3804,4889
2019,Смолян,70 - 74,6893,2780,4113
2019,Смолян,75 - 79,4660,1738,2922
2019,Смолян,80 - 84,3157,1158,1999
2019,Смолян,85 - 89,1698,532,1166
2019,Смолян,90 - 94,437,119,318
2019,Смолян,95 - 99,76,16,60
2019,Смолян,100+,6,3,3
2019,София,Общо,226671,111249,115422
2019,София,0,2083,1049,1034
2019,София,1 - 4,8024,4150,3874
2019,София,5 - 9,10380,5248,5132
2019,София,10 - 14,10979,5693,5286
2019,София,15 - 19,10180,5345,4835
2019,София,20 - 24,9078,4660,4418
2019,София,25 - 29,10987,5755,5232
2019,София,30 - 34,13330,7115,6215
2019,София,35 - 39,14623,7784,6839
2019,София,40 - 44,16650,8856,7794
2019,София,45 - 49,17546,9037,8509
2019,София,50 - 54,16800,8732,8068
2019,София,55 - 59,16573,8354,8219
2019,София,60 - 64,15957,7714,8243
2019,София,65 - 69,15871,7183,8688
2019,София,70 - 74,14960,6338,8622
2019,София,75 - 79,9950,3883,6067
2019,София,80 - 84,7293,2541,4752
2019,София,85 - 89,4098,1383,2715
2019,София,90 - 94,1144,377,767
2019,София,95 - 99,152,47,105
2019,София,100+,13,5,8
2019,София (столица),Общо,1328790,637465,691325
2019,София (столица),0,12906,6660,6246
2019,София (столица),1 - 4,53366,27537,25829
2019,София (столица),5 - 9,67728,34718,33010
2019,София (столица),10 - 14,62135,31937,30198
2019,София (столица),15 - 19,54698,28058,26640
2019,София (столица),20 - 24,73638,37614,36024
2019,София (столица),25 - 29,95154,48288,46866
2019,София (столица),30 - 34,119074,60509,58565
2019,София (столица),35 - 39,108748,54679,54069
2019,София (столица),40 - 44,116438,58533,57905
2019,София (столица),45 - 49,101612,50933,50679
2019,София (столица),50 - 54,81549,40252,41297
2019,София (столица),55 - 59,72962,34491,38471
2019,София (столица),60 - 64,73594,32528,41066
2019,София (столица),65 - 69,74593,30884,43709
2019,София (столица),70 - 74,64541,25603,38938
2019,София (столица),75 - 79,41857,16073,25784
2019,София (столица),80 - 84,28842,10085,18757
2019,София (столица),85 - 89,17734,5668,12066
2019,София (столица),90 - 94,6343,2006,4337
2019,София (столица),95 - 99,1209,383,826
2019,София (столица),100+,69,26,43
2019,Стара Загора,Общо,313396,151611,161785
2019,Стара Загора,0,2781,1392,1389
2019,Стара Загора,1 - 4,12245,6348,5897
2019,Стара Загора,5 - 9,16089,8299,7790
2019,Стара Загора,10 - 14,15889,8213,7676
2019,Стара Загора,15 - 19,14739,7657,7082
2019,Стара Загора,20 - 24,12843,6413,6430
2019,Стара Загора,25 - 29,15945,7961,7984
2019,Стара Загора,30 - 34,19633,10013,9620
2019,Стара Загора,35 - 39,20894,11080,9814
2019,Стара Загора,40 - 44,23772,12480,11292
2019,Стара Загора,45 - 49,23366,12145,11221
2019,Стара Загора,50 - 54,21402,10921,10481
2019,Стара Загора,55 - 59,21459,10551,10908
2019,Стара Загора,60 - 64,21509,10081,11428
2019,Стара Загора,65 - 69,21451,9370,12081
2019,Стара Загора,70 - 74,19470,7989,11481
2019,Стара Загора,75 - 79,13372,4991,8381
2019,Стара Загора,80 - 84,9533,3406,6127
2019,Стара Загора,85 - 89,5382,1781,3601
2019,Стара Загора,90 - 94,1420,465,955
2019,Стара Загора,95 - 99,190,53,137
2019,Стара Загора,100+,12,2,10
2019,Търговище,Общо,110914,54164,56750
2019,Търговище,0,895,468,427
2019,Търговище,1 - 4,4111,2074,2037
2019,Търговище,5 - 9,5654,2917,2737
2019,Търговище,10 - 14,5642,2859,2783
2019,Търговище,15 - 19,5496,2827,2669
2019,Търговище,20 - 24,4597,2300,2297
2019,Търговище,25 - 29,5907,3023,2884
2019,Търговище,30 - 34,6475,3372,3103
2019,Търговище,35 - 39,7059,3655,3404
2019,Търговище,40 - 44,7979,4128,3851
2019,Търговище,45 - 49,8385,4372,4013
2019,Търговище,50 - 54,8212,4254,3958
2019,Търговище,55 - 59,8316,4154,4162
2019,Търговище,60 - 64,7918,3883,4035
2019,Търговище,65 - 69,7777,3515,4262
2019,Търговище,70 - 74,6851,2819,4032
2019,Търговище,75 - 79,4806,1863,2943
2019,Търговище,80 - 84,2894,1020,1874
2019,Търговище,85 - 89,1490,542,948
2019,Търговище,90 - 94,378,104,274
2019,Търговище,95 - 99,71,15,56
2019,Търговище,100+,1,-,1
2019,Хасково,Общо,225317,109971,115346
2019,Хасково,0,1847,960,887
2019,Хасково,1 - 4,8289,4218,4071
2019,Хасково,5 - 9,11340,5764,5576
2019,Хасково,10 - 14,11255,5755,5500
2019,Хасково,15 - 19,10231,5290,4941
2019,Хасково,20 - 24,8734,4583,4151
2019,Хасково,25 - 29,10903,5797,5106
2019,Хасково,30 - 34,13418,7028,6390
2019,Хасково,35 - 39,15122,8030,7092
2019,Хасково,40 - 44,16761,8706,8055
2019,Хасково,45 - 49,16639,8690,7949
2019,Хасково,50 - 54,15576,7802,7774
2019,Хасково,55 - 59,16284,8037,8247
2019,Хасково,60 - 64,17057,8228,8829
2019,Хасково,65 - 69,16063,7251,8812
2019,Хасково,70 - 74,13583,5733,7850
2019,Хасково,75 - 79,9624,3731,5893
2019,Хасково,80 - 84,6862,2438,4424
2019,Хасково,85 - 89,4286,1484,2802
2019,Хасково,90 - 94,1259,392,867
2019,Хасково,95 - 99,172,52,120
2019,Хасково,100+,12,2,10
2019,Шумен,Общо,172262,83922,88340
2019,Шумен,0,1410,722,688
2019,Шумен,1 - 4,5973,3109,2864
2019,Шумен,5 - 9,8148,4165,3983
2019,Шумен,10 - 14,8398,4351,4047
2019,Шумен,15 - 19,8226,4248,3978
2019,Шумен,20 - 24,7281,3748,3533
2019,Шумен,25 - 29,9648,4978,4670
2019,Шумен,30 - 34,11158,5581,5577
2019,Шумен,35 - 39,11137,5697,5440
2019,Шумен,40 - 44,12846,6602,6244
2019,Шумен,45 - 49,13346,6939,6407
2019,Шумен,50 - 54,12438,6415,6023
2019,Шумен,55 - 59,12276,6233,6043
2019,Шумен,60 - 64,12360,5864,6496
2019,Шумен,65 - 69,12431,5562,6869
2019,Шумен,70 - 74,10780,4469,6311
2019,Шумен,75 - 79,6967,2694,4273
2019,Шумен,80 - 84,4325,1474,2851
2019,Шумен,85 - 89,2359,854,1505
2019,Шумен,90 - 94,661,188,473
2019,Шумен,95 - 99,89,26,63
2019,Шумен,100+,5,3,2
2019,Ямбол,Общо,117335,57408,59927
2019,Ямбол,0,1106,575,531
2019,Ямбол,1 - 4,4542,2292,2250
2019,Ямбол,5 - 9,5999,3069,2930
2019,Ямбол,10 - 14,6118,3096,3022
2019,Ямбол,15 - 19,5521,2871,2650
2019,Ямбол,20 - 24,4413,2346,2067
2019,Ямбол,25 - 29,5516,2952,2564
2019,Ямбол,30 - 34,6695,3508,3187
2019,Ямбол,35 - 39,7132,3853,3279
2019,Ямбол,40 - 44,8085,4200,3885
2019,Ямбол,45 - 49,8085,4159,3926
2019,Ямбол,50 - 54,8000,4043,3957
2019,Ямбол,55 - 59,8800,4346,4454
2019,Ямбол,60 - 64,8690,4213,4477
2019,Ямбол,65 - 69,8915,4153,4762
2019,Ямбол,70 - 74,7702,3251,4451
2019,Ямбол,75 - 79,5247,2061,3186
2019,Ямбол,80 - 84,3921,1411,2510
2019,Ямбол,85 - 89,2178,780,1398
2019,Ямбол,90 - 94,598,204,394
2019,Ямбол,95 - 99,69,24,45
2019,Ямбол,100+,3,1,2
